date,ACM1s2,ACM1s1,ACM0s2,ACM0s1
Sat Feb  6 02:40:30 2021,7.362,7.301,7.315,7.493
Sat Feb  6 02:45:30 2021,7.365,7.300,7.315,7.497
Sat Feb  6 02:50:30 2021,7.364,7.300,7.317,7.497
Sat Feb  6 02:55:31 2021,7.364,7.302,7.318,7.497
Sat Feb  6 03:00:31 2021,7.366,7.307,7.319,7.499
Sat Feb  6 03:05:32 2021,7.363,7.305,7.320,7.501
Sat Feb  6 03:10:32 2021,7.367,7.305,7.321,7.502
Sat Feb  6 03:15:33 2021,7.367,7.308,7.322,7.501
Sat Feb  6 03:20:33 2021,7.368,7.310,7.325,7.504
Sat Feb  6 03:25:33 2021,7.371,7.310,7.324,7.506
Sat Feb  6 03:30:34 2021,7.374,7.312,7.327,7.510
Sat Feb  6 03:35:34 2021,7.374,7.313,7.329,7.505
Sat Feb  6 03:40:35 2021,7.375,7.314,7.328,7.508
Sat Feb  6 03:45:35 2021,7.374,7.316,7.327,7.509
Sat Feb  6 03:50:35 2021,7.378,7.317,7.328,7.511
Sat Feb  6 03:55:36 2021,7.379,7.317,7.328,7.507
Sat Feb  6 04:00:36 2021,7.378,7.321,7.333,7.513
Sat Feb  6 04:05:37 2021,7.382,7.323,7.333,7.512
Sat Feb  6 04:10:37 2021,7.386,7.324,7.333,7.515
Sat Feb  6 04:15:38 2021,7.382,7.325,7.333,7.515
Sat Feb  6 04:20:38 2021,7.384,7.311,7.335,7.517
Sat Feb  6 04:25:38 2021,7.386,7.308,7.336,7.518
Sat Feb  6 04:30:39 2021,7.386,7.308,7.337,7.521
Sat Feb  6 04:35:39 2021,7.390,7.313,7.339,7.521
Sat Feb  6 04:40:40 2021,7.391,7.309,7.338,7.522
Sat Feb  6 04:45:40 2021,7.393,7.310,7.336,7.519
Sat Feb  6 04:50:41 2021,7.394,7.314,7.336,7.520
Sat Feb  6 04:55:41 2021,7.394,7.263,7.335,7.520
Sat Feb  6 05:00:42 2021,7.394,7.287,7.335,7.525
Sat Feb  6 05:05:42 2021,7.394,7.300,7.333,7.524
Sat Feb  6 05:10:43 2021,7.393,7.309,7.333,7.522
Sat Feb  6 05:15:43 2021,7.396,7.314,7.333,7.523
Sat Feb  6 05:20:41 2021,7.395,7.316,5,7.524
Sat Feb  6 05:25:44 2021,7.397,7.321,7.333,7.524
Sat Feb  6 05:30:45 2021,7.400,7.323,7.330,7.526
Sat Feb  6 05:35:43 2021,7.401,7.325,7.329,7.527
Sat Feb  6 05:40:44 2021,7.402,7.330,7.331,7.531
Sat Feb  6 05:45:44 2021,7.401,7.330,7.331,7.531
Sat Feb  6 05:50:45 2021,7.401,7.330,7.331,7.533
Sat Feb  6 05:55:37 2021,7.402,7.335,7.328,7.533
Sat Feb  6 06:00:38 2021,7.402,7.334,7.331,7.535
Sat Feb  6 06:05:39 2021,7.402,7.337,7.331,7.534
Sat Feb  6 06:10:40 2021,7.404,7.338,7.330,7.535
Sat Feb  6 06:15:40 2021,7.408,7.338,7.332,7.535
Sat Feb  6 06:20:41 2021,7.406,7.341,7.332,7.539
Sat Feb  6 06:25:42 2021,7.407,7.343,7.327,7.539
Sat Feb  6 06:30:43 2021,7.407,7.341,7.330,7.544
Sat Feb  6 06:35:44 2021,7.406,7.347,7.328,7.545
Sat Feb  6 06:40:45 2021,7.406,7.349,7.325,7.547
Sat Feb  6 06:45:19 2021,7.411,7.347,7.328,7.545
Sat Feb  6 06:50:19 2021,7.410,7.356,7.328,7.544
Sat Feb  6 06:55:20 2021,7.408,7.367,7.325,7.548
Sat Feb  6 07:00:20 2021,7.409,7.357,7.328,7.552
Sat Feb  6 07:05:20 2021,7.411,7.356,7.328,7.550
Sat Feb  6 07:10:20 2021,7.414,7.355,7.330,7.551
Sat Feb  6 07:15:20 2021,7.417,7.356,7.328,7.550
Sat Feb  6 07:20:21 2021,7.420,7.354,7.329,7.553
Sat Feb  6 07:25:21 2021,7.420,7.354,7.329,7.552
Sat Feb  6 07:30:21 2021,7.419,7.357,7.329,7.551
Sat Feb  6 07:35:21 2021,7.419,7.361,7.323,7.557
Sat Feb  6 07:40:22 2021,7.422,7.359,7.326,7.555
Sat Feb  6 07:45:22 2021,7.421,7.359,7.328,7.559
Sat Feb  6 07:50:22 2021,7.422,7.364,7.328,7.560
Sat Feb  6 07:55:22 2021,7.421,7.360,7.327,7.558
Sat Feb  6 08:00:23 2021,7.424,7.361,7.328,7.556
Sat Feb  6 08:05:23 2021,7.427,7.358,7.331,7.560
Sat Feb  6 08:10:23 2021,7.430,7.362,7.333,7.564
Sat Feb  6 08:15:23 2021,7.431,7.364,7.329,7.568
Sat Feb  6 08:20:23 2021,7.431,7.364,7.330,7.572
Sat Feb  6 08:25:24 2021,7.436,7.366,7.329,7.573
Sat Feb  6 08:30:25 2021,7.437,7.364,7.333,7.574
Sat Feb  6 08:35:26 2021,7.439,7.368,7.333,7.576
Sat Feb  6 08:40:27 2021,7.437,7.369,7.332,7.572
Sat Feb  6 08:45:28 2021,7.442,7.369,7.333,7.575
Sat Feb  6 08:50:29 2021,7.440,7.371,7.334,7.574
Sat Feb  6 08:55:30 2021,7.438,7.381,7.339,7.576
Sat Feb  6 09:00:31 2021,7.437,7.378,7.339,7.576
Sat Feb  6 09:05:32 2021,7.438,7.378,7.336,7.581
Sat Feb  6 09:10:33 2021,7.434,7.377,7.338,7.582
Sat Feb  6 09:15:34 2021,7.438,7.378,7.341,7.585
Sat Feb  6 09:20:35 2021,7.434,7.374,7.342,7.588
Sat Feb  6 09:25:37 2021,7.437,7.378,7.345,7.583
Sat Feb  6 09:30:38 2021,7.440,7.380,7.345,7.590
Sat Feb  6 09:35:39 2021,7.441,7.380,7.349,7.590
Sat Feb  6 09:40:40 2021,7.443,7.383,7.347,7.591
Sat Feb  6 09:45:41 2021,7.444,7.381,7.349,7.588
Sat Feb  6 09:50:42 2021,7.447,7.384,7.348,7.593
Sat Feb  6 09:55:43 2021,7.448,7.384,7.346,7.595
