date,ACM1,ACM0
Wed Mar 10 15:07:40 2021,4.61,4.17
Wed Mar 10 15:13:42 2021,4.61,4.17
Wed Mar 10 15:19:44 2021,4.61,4.17
Wed Mar 10 15:25:45 2021,4.61,4.20
Wed Mar 10 15:31:47 2021,4.64,4.20
Wed Mar 10 15:37:49 2021,4.61,4.20
Wed Mar 10 15:43:51 2021,4.61,4.17
Wed Mar 10 15:49:52 2021,4.61,4.17
Wed Mar 10 15:55:54 2021,4.61,4.20
Wed Mar 10 16:01:56 2021,4.64,4.20
Wed Mar 10 16:07:57 2021,4.64,4.20
Wed Mar 10 16:13:59 2021,4.58,4.20
Wed Mar 10 16:20:01 2021,4.61,4.23
Wed Mar 10 16:26:03 2021,4.61,4.23
Wed Mar 10 16:32:04 2021,4.58,4.20
Wed Mar 10 16:38:06 2021,4.58,4.20
Wed Mar 10 16:44:08 2021,4.58,4.20
Wed Mar 10 16:50:10 2021,4.55,4.20
Wed Mar 10 16:56:11 2021,4.58,4.23
Wed Mar 10 17:02:13 2021,4.55,4.23
Wed Mar 10 17:08:15 2021,4.55,4.23
Wed Mar 10 17:14:17 2021,4.55,4.26
Wed Mar 10 17:20:18 2021,4.55,4.23
Wed Mar 10 17:26:20 2021,4.52,4.23
Wed Mar 10 17:32:22 2021,4.55,4.23
Wed Mar 10 17:38:23 2021,4.58,4.26
Wed Mar 10 17:44:25 2021,4.55,4.23
Wed Mar 10 17:50:27 2021,4.58,4.26
Wed Mar 10 17:56:29 2021,4.55,4.26
Wed Mar 10 18:02:30 2021,4.55,4.26
Wed Mar 10 18:08:32 2021,4.58,4.26
Wed Mar 10 18:14:34 2021,4.55,4.26
Wed Mar 10 18:20:36 2021,4.52,4.26
Wed Mar 10 18:26:37 2021,4.52,4.23
Wed Mar 10 18:32:39 2021,4.52,4.23
Wed Mar 10 18:38:41 2021,4.50,4.23
Wed Mar 10 18:44:42 2021,4.50,4.23
Wed Mar 10 18:50:44 2021,4.52,4.26
Wed Mar 10 18:56:46 2021,4.55,4.29
Wed Mar 10 19:02:48 2021,4.52,4.32
Wed Mar 10 19:08:50 2021,4.55,4.32
Wed Mar 10 19:14:51 2021,4.55,4.32
Wed Mar 10 19:20:53 2021,4.55,4.29
Wed Mar 10 19:26:55 2021,4.55,4.29
Wed Mar 10 19:32:56 2021,4.55,4.26
Wed Mar 10 19:38:58 2021,4.55,4.29
Wed Mar 10 19:45:00 2021,4.50,4.26
Wed Mar 10 19:51:02 2021,4.52,4.23
Wed Mar 10 19:57:03 2021,4.52,4.26
Wed Mar 10 20:03:05 2021,4.52,4.20
Wed Mar 10 20:09:07 2021,4.52,4.23
Wed Mar 10 20:15:08 2021,4.50,4.23
Wed Mar 10 20:21:10 2021,4.52,4.26
Wed Mar 10 20:27:12 2021,4.52,4.26
Wed Mar 10 20:33:14 2021,4.52,4.26
Wed Mar 10 20:39:15 2021,4.52,4.26
Wed Mar 10 20:45:17 2021,4.55,4.29
Wed Mar 10 20:51:19 2021,4.52,4.26
Wed Mar 10 20:57:20 2021,4.52,4.26
